Valor 6.577125, Posicion: 0
Valor 6.702941, Posicion: 1
Valor 7.067881, Posicion: 2
Valor 7.912147, Posicion: 3
Valor 8.765067, Posicion: 4
Valor 9.290192, Posicion: 5
Valor 9.084929, Posicion: 6
Valor 8.807362, Posicion: 7
Valor 8.598681, Posicion: 8
Valor 8.566670, Posicion: 9
Valor 8.251623, Posicion: 10
Valor 7.611004, Posicion: 11
Valor 6.842365, Posicion: 12
Valor 6.159419, Posicion: 13
Valor 5.711882, Posicion: 14
Valor 5.370186, Posicion: 15
Valor 5.066608, Posicion: 16
Valor 4.795928, Posicion: 17
Valor 4.557418, Posicion: 18
Valor 4.352131, Posicion: 19
Valor 7.836714, Posicion: 0
Valor 8.112608, Posicion: 1
Valor 8.637511, Posicion: 2
Valor 9.422408, Posicion: 3
Valor 10.283938, Posicion: 4
Valor 10.830163, Posicion: 5
Valor 11.057942, Posicion: 6
Valor 11.175345, Posicion: 7
Valor 11.353043, Posicion: 8
Valor 11.420024, Posicion: 9
Valor 11.090485, Posicion: 10
Valor 10.262733, Posicion: 11
Valor 9.213484, Posicion: 12
Valor 8.232567, Posicion: 13
Valor 7.529381, Posicion: 14
Valor 7.013088, Posicion: 15
Valor 6.588261, Posicion: 16
Valor 6.219910, Posicion: 17
Valor 5.900564, Posicion: 18
Valor 5.613189, Posicion: 19

Time: 0.032014
Result: 5 9.290192 9 11.420024
